[array([ 23., 484.]), [np.float64(53.27076923604555), np.float64(11.120359438887917), 22]]
[array([ 24., 483.]), [np.float64(53.27077670641815), np.float64(11.120345850117856), 22]]
[array([ 25., 483.]), [np.float64(53.27077636756508), np.float64(11.120332837644149), 22]]
[array([ 26., 483.]), [np.float64(53.27077602869482), np.float64(11.120319824510352), 22]]
[array([ 27., 483.]), [np.float64(53.27077568980737), np.float64(11.120306810716414), 22]]
[array([ 28., 483.]), [np.float64(53.27077535090274), np.float64(11.120293796262285), 22]]
[array([ 28., 484.]), [np.float64(53.27076754070453), np.float64(11.120294373317625), 22]]
[array([ 28., 485.]), [np.float64(53.27075973051251), np.float64(11.120294950372505), 22]]
[array([ 26., 486.]), [np.float64(53.270752599306526), np.float64(11.120321555556249), 22]]
[array([ 25., 486.]), [np.float64(53.27075293877063), np.float64(11.120334568630682), 22]]
[array([ 24., 486.]), [np.float64(53.270753278217505), np.float64(11.120347581045024), 22]]
[array([ 23., 486.]), [np.float64(53.27075361764716), np.float64(11.120360592799333), 22]]
[array([ 23., 485.]), [np.float64(53.270761426843265), np.float64(11.120360015843852), 22]]
[array([ 23., 484.]), [np.float64(53.27076923604555), np.float64(11.120359438887917), 22]]
[[0, 0], [0, 0, 0]]
[array([ 31., 315.]), [np.float64(53.272167871966374), np.float64(11.122527928871728), 25]]
[array([ 32., 315.]), [np.float64(53.27216759757277), np.float64(11.122514862985033), 25]]
[array([ 35., 316.]), [np.float64(53.27215892933297), np.float64(11.122476193384363), 23]]
[array([ 36., 317.]), [np.float64(53.27215080980789), np.float64(11.122463656244394), 23]]
[array([ 36., 318.]), [np.float64(53.27214296485934), np.float64(11.122464186016224), 23]]
[array([ 33., 317.]), [np.float64(53.27215163352843), np.float64(11.122502855956709), 25]]
[array([ 32., 316.]), [np.float64(53.27215975279232), np.float64(11.122515392483566), 25]]
[array([ 31., 315.]), [np.float64(53.272167871966374), np.float64(11.122527928871728), 25]]
[[0, 0], [0, 0, 0]]
[array([ 65., 194.]), [np.float64(53.27333010551317), np.float64(11.124532494943793), 26]]
[array([ 67., 193.]), [np.float64(53.27333804131359), np.float64(11.124506111248817), 25]]
[array([ 68., 194.]), [np.float64(53.273330131194854), np.float64(11.124493040408538), 26]]
[array([ 67., 195.]), [np.float64(53.27332220417908), np.float64(11.12450627359709), 26]]
[array([ 66., 195.]), [np.float64(53.273322195770305), np.float64(11.124519424920646), 26]]
[array([ 65., 194.]), [np.float64(53.27333010551317), np.float64(11.124532494943793), 26]]
[[0, 0], [0, 0, 0]]
[array([ 20., 124.]), [np.float64(53.27338483459688), np.float64(11.170581470322485), 50]]
